Player,Position,Championship Season,Championship Goals,FPL Season,FPL Points,FPL Goals,FPL Assists,FPL Value,Player (FPL Season),Player (FPL Season) - Short,Championship Team,FPL Team
Jack O'Connell,DEF,2018-19,3,2019-20,111.0,0.0,1.0,45.0,Jack O'Connell (2019-20),O'Connell: 19/20,Sheffield Utd,Sheffield Utd
Scott Twine,MID,2022-23,3,2023-24,0.0,0.0,0.0,50.0,Scott Twine (2023-24),Twine: 23/24,Burnley,Burnley
Vitaly Janelt,MID,2020-21,3,2021-22,90.0,4.0,0.0,50.0,Vitaly Janelt (2021-22),Janelt: 21/22,Brentford,Brentford
Adam Idah,FWD,2020-21,3,2021-22,36.0,1.0,2.0,50.0,Adam Idah (2021-22),Idah: 21/22,Norwich,Norwich
Saman Ghoddos,MID,2020-21,3,2021-22,30.0,1.0,2.0,55.0,Saman Ghoddos (2021-22),Ghoddos: 21/22,Brentford,Brentford
Tom Lockyer,DEF,2022-23,3,2023-24,23.0,1.0,1.0,45.0,Tom Lockyer (2023-24),Lockyer: 23/24,Luton,Luton
Anthony Pilkington,MID,2017-18,3,2018-19,0.0,0.0,0.0,45.0,Anthony Pilkington (2018-19),Pilkington: 18/19,Cardiff,Cardiff
Tosin Adarabioyo,DEF,2021-22,2,2022-23,49.0,1.0,0.0,45.0,Tosin Adarabioyo (2022-23),Adarabioyo: 22/23,Fulham,Fulham
Andy Robertson,DEF,2015-16,2,2016-17,73.0,1.0,2.0,45.0,Andy Robertson (2016-17),Robertson: 16/17,Hull,Hull
David Meyler,MID,2015-16,2,2016-17,33.0,1.0,0.0,45.0,David Meyler (2016-17),Meyler: 16/17,Hull,Hull
Kenny Tete,DEF,2021-22,2,2022-23,90.0,1.0,5.0,45.0,Kenny Tete (2022-23),Tete: 22/23,Fulham,Fulham
Antonee Robinson,DEF,2021-22,2,2022-23,93.0,0.0,2.0,45.0,Antonee Robinson (2022-23),Robinson: 22/23,Fulham,Fulham
Scott McKenna,DEF,2021-22,2,2022-23,40.0,0.0,0.0,45.0,Scott McKenna (2022-23),McKenna: 22/23,Nott'm Forest,Nott'm Forest
Daniel Ayala,DEF,2015-16,2,2016-17,31.0,1.0,0.0,50.0,Daniel Ayala (2016-17),Ayala: 16/17,Middlesbrough,Middlesbrough
Curtis Davies,DEF,2015-16,2,2016-17,38.0,0.0,2.0,50.0,Curtis Davies (2016-17),Davies: 16/17,Hull,Hull
Kenny McLean,MID,2020-21,2,2021-22,69.0,1.0,0.0,50.0,Kenny McLean (2021-22),McLean: 21/22,Norwich,Norwich
Adam Masina,DEF,2020-21,2,2021-22,25.0,0.0,1.0,45.0,Adam Masina (2021-22),Masina: 21/22,Watford,Watford
Mathias Jensen,MID,2020-21,2,2021-22,54.0,0.0,1.0,50.0,Mathias Jensen (2021-22),Jensen: 21/22,Brentford,Brentford
Adam Forshaw,MID,2015-16,2,2016-17,77.0,0.0,2.0,45.0,Adam Forshaw (2016-17),Forshaw: 16/17,Middlesbrough,Middlesbrough
